piezo amplitude phase
4.943667E-08 2.574757E-08 -9.000000E+01
4.937526E-08 2.569237E-08 -8.997253E+01
4.931385E-08 2.570010E-08 -9.001099E+01
4.925244E-08 2.567802E-08 -9.003845E+01
4.919103E-08 2.564822E-08 -9.006043E+01
4.912961E-08 2.568575E-08 -9.005493E+01
4.906820E-08 2.573432E-08 -9.009888E+01
4.900679E-08 2.571445E-08 -9.006592E+01
4.894538E-08 2.579283E-08 -9.006043E+01
4.888397E-08 2.577296E-08 -9.007690E+01
4.882255E-08 2.574426E-08 -9.002747E+01
4.876114E-08 2.571114E-08 -9.001648E+01
4.869973E-08 2.572108E-08 -9.004395E+01
4.863832E-08 2.571114E-08 -9.006592E+01
4.857691E-08 2.572329E-08 -8.997803E+01
4.851549E-08 2.571445E-08 -8.999451E+01
4.845408E-08 2.576413E-08 -8.996155E+01
4.839267E-08 2.578731E-08 -9.009338E+01
4.833126E-08 2.577517E-08 -9.007141E+01
4.826985E-08 2.580277E-08 -9.013184E+01
4.820843E-08 2.578069E-08 -9.004944E+01
4.814702E-08 2.578621E-08 -8.997253E+01
4.808561E-08 2.578731E-08 -9.000000E+01
4.802420E-08 2.579835E-08 -9.003845E+01
4.796279E-08 2.578952E-08 -9.004395E+01
4.790137E-08 2.575640E-08 -9.009338E+01
4.783996E-08 2.578290E-08 -9.012634E+01
4.777855E-08 2.576082E-08 -9.003845E+01
4.771714E-08 2.571666E-08 -9.001099E+01
4.765573E-08 2.573101E-08 -9.003845E+01
4.759431E-08 2.572881E-08 -8.994507E+01
4.753290E-08 2.573984E-08 -8.994507E+01
4.747149E-08 2.576192E-08 -8.993957E+01
4.741008E-08 2.578069E-08 -8.996704E+01
4.734867E-08 2.576744E-08 -9.000549E+01
4.728725E-08 2.574426E-08 -9.007690E+01
4.722584E-08 2.576634E-08 -9.009338E+01
4.716443E-08 2.574316E-08 -9.001099E+01
4.710302E-08 2.576082E-08 -8.996155E+01
4.704161E-08 2.578952E-08 -8.991760E+01
4.698019E-08 2.575420E-08 -9.003296E+01
4.691878E-08 2.574978E-08 -9.006592E+01
4.685737E-08 2.571997E-08 -8.998352E+01
4.679596E-08 2.570893E-08 -8.994507E+01
4.673455E-08 2.570121E-08 -9.003296E+01
4.667313E-08 2.574205E-08 -9.010437E+01
4.661172E-08 2.575972E-08 -9.010437E+01
4.655031E-08 2.573101E-08 -9.003845E+01
4.648890E-08 2.574647E-08 -9.006592E+01
4.642749E-08 2.573874E-08 -9.002747E+01
4.636607E-08 2.573874E-08 -9.007690E+01
4.630466E-08 2.571887E-08 -9.003296E+01
4.624325E-08 2.572881E-08 -9.003296E+01
4.618184E-08 2.577959E-08 -8.997253E+01
4.612043E-08 2.575640E-08 -9.003845E+01
4.605901E-08 2.574426E-08 -9.007690E+01
4.599760E-08 2.574868E-08 -9.001648E+01
4.593619E-08 2.573764E-08 -8.992859E+01
4.587478E-08 2.573432E-08 -8.996704E+01
4.581337E-08 2.574978E-08 -9.000000E+01
4.575195E-08 2.573874E-08 -9.001648E+01
4.569054E-08 2.572439E-08 -9.000000E+01
4.562913E-08 2.574426E-08 -9.000000E+01
4.556772E-08 2.569789E-08 -9.003845E+01
4.550631E-08 2.571225E-08 -9.008789E+01
4.544489E-08 2.573101E-08 -9.000549E+01
4.538348E-08 2.573101E-08 -8.995605E+01
4.532207E-08 2.578952E-08 -9.005493E+01
4.526066E-08 2.574868E-08 -8.998352E+01
4.519925E-08 2.576524E-08 -9.001648E+01
4.513783E-08 2.572108E-08 -9.004395E+01
4.507642E-08 2.573984E-08 -9.002197E+01
4.501501E-08 2.572660E-08 -8.995605E+01
4.495360E-08 2.572991E-08 -8.997253E+01
4.489219E-08 2.573322E-08 -8.994507E+01
4.483077E-08 2.574316E-08 -8.990662E+01
4.476936E-08 2.574978E-08 -8.995056E+01
4.470795E-08 2.571777E-08 -9.002197E+01
4.464654E-08 2.572329E-08 -8.997803E+01
4.458513E-08 2.574095E-08 -9.004395E+01
4.452371E-08 2.571114E-08 -9.008789E+01
4.446230E-08 2.574868E-08 -9.010437E+01
4.440089E-08 2.573874E-08 -9.007690E+01
4.433948E-08 2.574536E-08 -9.004944E+01
4.427807E-08 2.572218E-08 -9.001648E+01
4.421665E-08 2.572549E-08 -9.007141E+01
4.415524E-08 2.573101E-08 -8.994507E+01
4.409383E-08 2.574426E-08 -8.990662E+01
4.403242E-08 2.577848E-08 -8.992310E+01
4.397101E-08 2.577628E-08 -9.004395E+01
4.390959E-08 2.575530E-08 -9.003845E+01
4.384818E-08 2.571335E-08 -9.021973E+01
4.378677E-08 2.575088E-08 -9.017029E+01
4.372536E-08 2.577407E-08 -9.010437E+01
4.366395E-08 2.575088E-08 -9.006043E+01
4.360253E-08 2.574647E-08 -8.995056E+01
4.354112E-08 2.573212E-08 -9.007141E+01
4.347971E-08 2.575640E-08 -9.001648E+01
4.341830E-08 2.574978E-08 -9.001099E+01
4.335688E-08 2.575640E-08 -8.984070E+01
4.329547E-08 2.576192E-08 -8.990662E+01
