piezo amplitude phase
4.943667477E-08 2.574757240E-08 -9.000000000E+01
4.937526275E-08 2.569237458E-08 -8.997253397E+01
4.931385073E-08 2.570010228E-08 -9.001098641E+01
4.925243871E-08 2.567802315E-08 -9.003845244E+01
4.919102669E-08 2.564821633E-08 -9.006042527E+01
4.912961468E-08 2.568575085E-08 -9.005493206E+01
4.906820266E-08 2.573432492E-08 -9.009887771E+01
4.900679064E-08 2.571445371E-08 -9.006591847E+01
4.894537862E-08 2.579283461E-08 -9.006042527E+01
4.888396660E-08 2.577296339E-08 -9.007690488E+01
4.882255458E-08 2.574426053E-08 -9.002746603E+01
4.876114257E-08 2.571114184E-08 -9.001647962E+01
4.869973055E-08 2.572107745E-08 -9.004394565E+01
4.863831853E-08 2.571114184E-08 -9.006591847E+01
4.857690651E-08 2.572328536E-08 -8.997802718E+01
4.851549449E-08 2.571445371E-08 -8.999450679E+01
4.845408247E-08 2.576413174E-08 -8.996154756E+01
4.839267046E-08 2.578731482E-08 -9.009338450E+01
4.833125844E-08 2.577517131E-08 -9.007141168E+01
4.826984642E-08 2.580277021E-08 -9.013183694E+01
4.820843440E-08 2.578069109E-08 -9.004943885E+01
4.814702238E-08 2.578621087E-08 -8.997253397E+01
4.808561036E-08 2.578731482E-08 -9.000000000E+01
4.802419835E-08 2.579835439E-08 -9.003845244E+01
4.796278633E-08 2.578952274E-08 -9.004394565E+01
4.790137431E-08 2.575640405E-08 -9.009338450E+01
4.783996229E-08 2.578289900E-08 -9.012634374E+01
4.777855027E-08 2.576081987E-08 -9.003845244E+01
4.771713825E-08 2.571666162E-08 -9.001098641E+01
4.765572624E-08 2.573101305E-08 -9.003845244E+01
4.759431422E-08 2.572880514E-08 -8.994506794E+01
4.753290220E-08 2.573984470E-08 -8.994506794E+01
4.747149018E-08 2.576192383E-08 -8.993957473E+01
4.741007816E-08 2.578069109E-08 -8.996704076E+01
4.734866614E-08 2.576744361E-08 -9.000549321E+01
4.728725413E-08 2.574426053E-08 -9.007690488E+01
4.722584211E-08 2.576633966E-08 -9.009338450E+01
4.716443009E-08 2.574315657E-08 -9.001098641E+01
4.710301807E-08 2.576081987E-08 -8.996154756E+01
4.704160605E-08 2.578952274E-08 -8.991760191E+01
4.698019403E-08 2.575419614E-08 -9.003295924E+01
4.691878202E-08 2.574978031E-08 -9.006591847E+01
4.685737000E-08 2.571997349E-08 -8.998352038E+01
4.679595798E-08 2.570893393E-08 -8.994506794E+01
4.673454596E-08 2.570120623E-08 -9.003295924E+01
4.667313394E-08 2.574205262E-08 -9.010437091E+01
4.661172192E-08 2.575971592E-08 -9.010437091E+01
4.655030991E-08 2.573101305E-08 -9.003845244E+01
4.648889789E-08 2.574646844E-08 -9.006591847E+01
4.642748587E-08 2.573874075E-08 -9.002746603E+01
4.636607385E-08 2.573874075E-08 -9.007690488E+01
4.630466183E-08 2.571886953E-08 -9.003295924E+01
4.624324981E-08 2.572880514E-08 -9.003295924E+01
4.618183780E-08 2.577958713E-08 -8.997253397E+01
4.612042578E-08 2.575640405E-08 -9.003845244E+01
4.605901376E-08 2.574426053E-08 -9.007690488E+01
4.599760174E-08 2.574867635E-08 -9.001647962E+01
4.593618972E-08 2.573763679E-08 -8.992858832E+01
4.587477770E-08 2.573432492E-08 -8.996704076E+01
4.581336569E-08 2.574978031E-08 -9.000000000E+01
4.575195367E-08 2.573874075E-08 -9.001647962E+01
4.569054165E-08 2.572438932E-08 -9.000000000E+01
4.562912963E-08 2.574426053E-08 -9.000000000E+01
4.556771761E-08 2.569789437E-08 -9.003845244E+01
4.550630559E-08 2.571224580E-08 -9.008789130E+01
4.544489358E-08 2.573101305E-08 -9.000549321E+01
4.538348156E-08 2.573101305E-08 -8.995605435E+01
4.532206954E-08 2.578952274E-08 -9.005493206E+01
4.526065752E-08 2.574867635E-08 -8.998352038E+01
4.519924550E-08 2.576523570E-08 -9.001647962E+01
4.513783348E-08 2.572107745E-08 -9.004394565E+01
4.507642147E-08 2.573984470E-08 -9.002197282E+01
4.501500945E-08 2.572659723E-08 -8.995605435E+01
4.495359743E-08 2.572990910E-08 -8.997253397E+01
4.489218541E-08 2.573322097E-08 -8.994506794E+01
4.483077339E-08 2.574315657E-08 -8.990661550E+01
4.476936137E-08 2.574978031E-08 -8.995056115E+01
4.470794936E-08 2.571776558E-08 -9.002197282E+01
4.464653734E-08 2.572328536E-08 -8.997802718E+01
4.458512532E-08 2.574094866E-08 -9.004394565E+01
4.452371330E-08 2.571114184E-08 -9.008789130E+01
4.446230128E-08 2.574867635E-08 -9.010437091E+01
4.440088926E-08 2.573874075E-08 -9.007690488E+01
4.433947725E-08 2.574536449E-08 -9.004943885E+01
4.427806523E-08 2.572218140E-08 -9.001647962E+01
4.421665321E-08 2.572549327E-08 -9.007141168E+01
4.415524119E-08 2.573101305E-08 -8.994506794E+01
4.409382917E-08 2.574426053E-08 -8.990661550E+01
4.403241715E-08 2.577848317E-08 -8.992309512E+01
4.397100514E-08 2.577627526E-08 -9.004394565E+01
4.390959312E-08 2.575530009E-08 -9.003845244E+01
4.384818110E-08 2.571334975E-08 -9.021972824E+01
4.378676908E-08 2.575088427E-08 -9.017028939E+01
4.372535706E-08 2.577406735E-08 -9.010437091E+01
4.366394504E-08 2.575088427E-08 -9.006042527E+01
4.360253303E-08 2.574646844E-08 -8.995056115E+01
4.354112101E-08 2.573211701E-08 -9.007141168E+01
4.347970899E-08 2.575640405E-08 -9.001647962E+01
4.341829697E-08 2.574978031E-08 -9.001098641E+01
4.335688495E-08 2.575640405E-08 -8.984069703E+01
4.329547293E-08 2.576192383E-08 -8.990661550E+01
4.323406092E-08 2.578179504E-08 -8.990661550E+01
4.317264890E-08 2.576854757E-08 -8.996154756E+01
4.311123688E-08 2.573211701E-08 -8.999450679E+01
4.304982486E-08 2.571997349E-08 -8.999450679E+01
4.298841284E-08 2.572328536E-08 -9.001098641E+01
4.292700082E-08 2.575198822E-08 -9.008789130E+01
4.286558881E-08 2.571776558E-08 -9.017028939E+01
4.280417679E-08 2.571666162E-08 -9.009887771E+01
4.274276477E-08 2.574426053E-08 -9.007141168E+01
4.268135275E-08 2.573432492E-08 -8.994506794E+01
4.261994073E-08 2.572770119E-08 -8.992309512E+01
4.255852871E-08 2.574426053E-08 -8.993957473E+01
4.249711669E-08 2.576302779E-08 -8.995056115E+01
4.243570468E-08 2.579173065E-08 -8.994506794E+01
4.237429266E-08 2.575861196E-08 -9.014282336E+01
4.231288064E-08 2.575640405E-08 -9.012085053E+01
4.225146862E-08 2.573322097E-08 -9.011535733E+01
4.219005660E-08 2.573653284E-08 -9.001647962E+01
4.212864458E-08 2.573432492E-08 -9.005493206E+01
4.206723257E-08 2.575640405E-08 -9.002197282E+01
4.200582055E-08 2.573211701E-08 -9.007690488E+01
4.194440853E-08 2.569789437E-08 -9.006042527E+01
4.188299651E-08 2.571886953E-08 -9.001098641E+01
4.182158449E-08 2.571886953E-08 -8.991760191E+01
4.176017247E-08 2.571114184E-08 -8.988464267E+01
4.169876046E-08 2.574757240E-08 -8.995605435E+01
4.163734844E-08 2.578400296E-08 -9.008789130E+01
4.157593642E-08 2.573432492E-08 -9.009887771E+01
4.151452440E-08 2.572880514E-08 -9.012634374E+01
4.145311238E-08 2.573322097E-08 -9.009887771E+01
4.139170036E-08 2.573211701E-08 -9.007141168E+01
4.133028835E-08 2.575640405E-08 -9.008239809E+01
4.126887633E-08 2.573322097E-08 -8.995056115E+01
4.120746431E-08 2.578069109E-08 -9.008239809E+01
4.114605229E-08 2.577075548E-08 -9.003295924E+01
4.108464027E-08 2.578179504E-08 -9.005493206E+01
4.102322825E-08 2.574978031E-08 -8.997253397E+01
4.096181624E-08 2.575088427E-08 -8.993408153E+01
4.090040422E-08 2.575750800E-08 -9.002197282E+01
4.083899220E-08 2.577958713E-08 -9.000549321E+01
4.077758018E-08 2.575530009E-08 -9.002746603E+01
4.071616816E-08 2.574205262E-08 -9.004943885E+01
4.065475614E-08 2.569899832E-08 -8.998352038E+01
4.059334413E-08 2.571666162E-08 -8.998352038E+01
4.053193211E-08 2.571997349E-08 -9.002197282E+01
4.047052009E-08 2.566367172E-08 -9.007141168E+01
4.040910807E-08 2.567691920E-08 -9.006591847E+01
4.034769605E-08 2.574646844E-08 -9.002197282E+01
4.028628403E-08 2.580056230E-08 -8.995056115E+01
4.022487202E-08 2.576302779E-08 -9.005493206E+01
4.016346000E-08 2.575309218E-08 -9.010986412E+01
4.010204798E-08 2.576192383E-08 -9.021423503E+01
4.004063596E-08 2.574426053E-08 -9.010986412E+01
3.997922394E-08 2.576744361E-08 -9.001647962E+01
3.991781192E-08 2.580277021E-08 -9.000000000E+01
3.985639991E-08 2.577075548E-08 -8.997253397E+01
3.979498789E-08 2.575530009E-08 -8.996154756E+01
3.973357587E-08 2.573432492E-08 -8.990112229E+01
3.967216385E-08 2.575640405E-08 -8.999450679E+01
3.961075183E-08 2.580277021E-08 -8.998901359E+01
3.954933981E-08 2.577958713E-08 -9.004394565E+01
3.948792780E-08 2.571666162E-08 -9.010437091E+01
3.942651578E-08 2.572549327E-08 -9.000000000E+01
3.936510376E-08 2.573432492E-08 -8.991760191E+01
3.930369174E-08 2.573211701E-08 -8.991210870E+01
3.924227972E-08 2.574205262E-08 -8.995056115E+01
3.918086770E-08 2.577406735E-08 -9.000549321E+01
3.911945569E-08 2.573432492E-08 -9.001098641E+01
3.905804367E-08 2.573101305E-08 -9.000549321E+01
3.899663165E-08 2.572328536E-08 -9.007690488E+01
3.893521963E-08 2.571334975E-08 -9.009887771E+01
3.887380761E-08 2.570672602E-08 -9.011535733E+01
3.881239559E-08 2.572770119E-08 -9.002197282E+01
3.875098358E-08 2.573101305E-08 -8.992858832E+01
3.868957156E-08 2.573542888E-08 -8.994506794E+01
3.862815954E-08 2.578510691E-08 -8.998901359E+01
3.856674752E-08 2.576744361E-08 -9.004394565E+01
3.850533550E-08 2.574646844E-08 -8.995605435E+01
3.844392348E-08 2.571334975E-08 -8.992858832E+01
3.838251147E-08 2.571114184E-08 -9.004943885E+01
3.832109945E-08 2.568354293E-08 -9.005493206E+01
3.825968743E-08 2.575088427E-08 -9.015930297E+01
3.819827541E-08 2.571997349E-08 -9.004943885E+01
3.813686339E-08 2.570231019E-08 -9.010986412E+01
3.807545137E-08 2.570893393E-08 -9.004943885E+01
3.801403936E-08 2.570451810E-08 -9.004943885E+01
3.795262734E-08 2.569568645E-08 -9.008789130E+01
3.789121532E-08 2.576523570E-08 -9.008789130E+01
3.782980330E-08 2.572218140E-08 -9.007141168E+01
3.776839128E-08 2.569568645E-08 -8.999450679E+01
3.770697926E-08 2.572880514E-08 -9.001647962E+01
3.764556725E-08 2.575088427E-08 -8.990661550E+01
3.758415523E-08 2.575750800E-08 -8.994506794E+01
3.752274321E-08 2.576854757E-08 -8.991760191E+01
3.746133119E-08 2.576302779E-08 -8.992858832E+01
3.739991917E-08 2.573101305E-08 -9.003295924E+01
3.733850715E-08 2.575861196E-08 -8.996154756E+01
3.727709514E-08 2.572770119E-08 -8.997802718E+01
3.721568312E-08 2.574205262E-08 -8.998901359E+01
3.715427110E-08 2.572770119E-08 -9.008239809E+01
3.709285908E-08 2.572107745E-08 -9.003295924E+01
3.703144706E-08 2.571445371E-08 -9.008789130E+01
3.697003504E-08 2.571886953E-08 -9.015930297E+01
3.690862303E-08 2.572990910E-08 -9.012085053E+01
3.684721101E-08 2.571334975E-08 -9.008239809E+01
3.678579899E-08 2.573542888E-08 -9.007141168E+01
3.672438697E-08 2.572990910E-08 -9.009887771E+01
3.666297495E-08 2.570010228E-08 -9.008789130E+01
3.660156293E-08 2.570341415E-08 -9.004943885E+01
3.654015092E-08 2.569899832E-08 -9.003845244E+01
3.647873890E-08 2.575309218E-08 -9.006042527E+01
3.641732688E-08 2.572770119E-08 -8.996704076E+01
3.635591486E-08 2.574978031E-08 -9.001647962E+01
3.629450284E-08 2.577848317E-08 -9.001647962E+01
3.623309082E-08 2.579173065E-08 -9.007690488E+01
3.617167881E-08 2.574205262E-08 -9.016479618E+01
3.611026679E-08 2.571445371E-08 -9.012085053E+01
3.604885477E-08 2.569789437E-08 -9.006591847E+01
3.598744275E-08 2.575419614E-08 -9.004943885E+01
3.592603073E-08 2.578400296E-08 -9.009338450E+01
3.586461871E-08 2.576523570E-08 -9.002197282E+01
3.580320670E-08 2.579283461E-08 -9.001647962E+01
3.574179468E-08 2.579725043E-08 -9.002746603E+01
3.568038266E-08 2.576523570E-08 -8.999450679E+01
3.561897064E-08 2.574426053E-08 -9.000549321E+01
3.555755862E-08 2.568795876E-08 -9.000000000E+01
3.549614660E-08 2.569458250E-08 -8.997253397E+01
3.543473459E-08 2.573874075E-08 -9.000549321E+01
3.537332257E-08 2.572990910E-08 -9.000549321E+01
3.531191055E-08 2.577185944E-08 -8.989562909E+01
3.525049853E-08 2.572549327E-08 -9.003845244E+01
3.518908651E-08 2.575750800E-08 -9.004943885E+01
3.512767449E-08 2.570893393E-08 -9.003295924E+01
3.506626248E-08 2.568795876E-08 -9.001647962E+01
3.500485046E-08 2.569237458E-08 -9.006591847E+01
3.494343844E-08 2.571776558E-08 -9.012634374E+01
3.488202642E-08 2.572107745E-08 -9.000549321E+01
3.482061440E-08 2.573984470E-08 -9.003295924E+01
3.475920238E-08 2.571224580E-08 -8.993957473E+01
3.469779037E-08 2.569568645E-08 -8.996704076E+01
3.463637835E-08 2.568354293E-08 -8.998352038E+01
3.457496633E-08 2.568685480E-08 -9.001098641E+01
3.451355431E-08 2.571003788E-08 -9.005493206E+01
3.445214229E-08 2.571114184E-08 -9.006042527E+01
3.439073027E-08 2.573763679E-08 -9.001098641E+01
3.432931826E-08 2.578952274E-08 -9.006042527E+01
3.426790624E-08 2.577075548E-08 -8.998901359E+01
3.420649422E-08 2.574978031E-08 -9.009338450E+01
