,x,y,ydiff
0,0,1,1
1,1,4,5
2,2,11,9
3,3,22,13
4,4,37,17
5,5,56,21
6,6,79,25
7,7,106,29
8,8,137,33
9,9,172,37
10,10,211,41
11,11,254,45
12,12,301,49
13,13,352,53
14,14,407,57
15,15,466,61
16,16,529,65
17,17,596,69
18,18,667,73
19,19,742,77
20,20,821,81
21,21,904,85
22,22,991,89
23,23,1082,93
24,24,1177,97
25,25,1276,101
26,26,1379,105
27,27,1486,109
28,28,1597,113
29,29,1712,117
30,30,1831,121
31,31,1954,125
32,32,2081,129
33,33,2212,133
34,34,2347,137
35,35,2486,141
36,36,2629,145
37,37,2776,149
38,38,2927,153
39,39,3082,157
40,40,3241,161
41,41,3404,165
42,42,3571,169
43,43,3742,173
44,44,3917,177
45,45,4096,181
46,46,4279,185
47,47,4466,189
48,48,4657,193
49,49,4852,197
